,GSM12087,GSM12094,GSM12183,GSM12184,GSM12185,GSM12186,GSM12187,GSM12188,GSM12189,GSM12190
AP2A2,14.362358,14.362358,14.297101,11.790322,12.646083,12.365699,10.711775,12.433461,13.468669,13.056394
AP2B1,3.7335093,3.7335093,3.3949273,5.695446,5.199078,3.7967334,3.8347979,2.5817492,4.2283263,3.4678316
AP2M1,36.50396,36.50396,37.957428,43.841557,44.43226,35.952812,31.840069,39.278522,29.048927,26.515488
AP2S1,14.94811,14.94811,14.80163,17.698294,15.9539175,16.024502,14.219683,12.557985,11.031759,10.877681
AP3B1,2.927001,2.927001,3.071558,3.12334,3.432258,2.985481,3.0219684,2.7509506,3.2034335,2.5361397
AP3B2,0.40369397,0.40369397,0.44384056,0.34819737,0.4184332,0.43012705,0.43233743,0.41539928,0.36738196,0.4344718
AP3D1,11.173703,11.173703,11.7300725,12.221537,11.55576085,10.92649735,11.18277665,12.8398295,9.5437767,8.9312947
AP3M2,4.1204925,4.1204925,2.3813405,3.5645163,3.0239632,0.3321234,2.1449912,3.5941067,1.4626609,0.88324064
AP3S1,5.5769567,5.5769567,5.773551,7.973435,9.263595,7.675136,7.7794375,8.271864,5.586266,6.1660047
AP3S2,2.86983295,2.86983295,3.2875904,3.2357684,3.0165899,3.15653375,3.0171353,4.6701524,4.01244635,2.9876886
AP4E1,0.051890943,0.051890943,0.028079709,0.021821631,0.023963133,0.03720508,0.03778559,0.06653993,0.04206009,0.3494837
AP4M1,1.746702,1.746702,1.1911231,0.9686907,1.567742,1.7903812,0.870826,1.5950571,2.0334764,1.4336774
AP4S1,0.3403694,0.3403694,0.08061594,1,0.11059908,0.10163339,0.15026362,0.16634983,0.3253219,0.18268466
APAF1,0.2814424,0.2814424,0.62228256,0.5796964,0.8663595,1.3856624,0.7934974,0.89258564,1.1553649,1.3852262
APBA1,0.09498681,0.09498681,0.34873188,0.39373815,0.06543779,0.28402904,0.5386643,1.0009507,0.42060086,0.32724383
APBA2,1.237467,1.237467,0.9039855,1.122391,0.5483871,0.5381125,0.97803164,1.6425856,0.97510725,1.0063542
APBA3,1.1970098,1.1970098,0.39855072,1.7998103,2,2.363884,0.68980664,2.8593156,2.0145922,0.46465448
